wallets,rhythm_wallets,one_shot_pct,typology,median_hour_amplitude,median_active_days,rhythm_coverage_pct
7989,7617,5.3,bot_like,0.908041,8,95.3
1938,1938,100.0,bot_like,2.0,1.0,100.0
1926,1926,100.0,bot_like,2.0,1.0,100.0
1257,1257,0.0,bot_like,0.037647,58,100.0
1164,1164,2.3,bot_like,0.3152065,8.0,100.0
1135,1135,0.0,bot_like,0.517638,2,100.0
1032,1032,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
1000,1000,100.0,bot_like,2.0,1.0,100.0
903,903,0.0,bot_like,0.131313,13,100.0
887,887,100.0,bot_like,2.0,1,100.0
855,855,0.0,bot_like,0.063812,31,100.0
795,795,0.0,bot_like,0.065737,30,100.0
654,654,95.4,bot_like,2.0,1.0,100.0
634,634,86.4,bot_like,2.0,1.0,100.0
574,574,96.5,bot_like,2.0,1.0,100.0
534,534,100.0,bot_like,2.0,1.0,100.0
509,509,100.0,bot_like,2.0,1,100.0
472,472,0.0,bot_like,1.497258,2.0,100.0
378,378,100.0,bot_like,2.0,1.0,100.0
362,362,100.0,bot_like,2.0,1.0,100.0
346,346,75.7,bot_like,2.0,1.0,100.0
326,326,0.0,bot_like,1.6761845000000002,2.0,100.0
323,323,100.0,bot_like,2.0,1,100.0
321,321,100.0,bot_like,2.0,1,100.0
320,320,100.0,bot_like,2.0,1.0,100.0
311,311,100.0,bot_like,2.0,1,100.0
307,307,99.3,bot_like,2.0,1,100.0
296,296,0.0,bot_like,0.0667545,32.0,100.0
294,294,100.0,bot_like,2.0,1.0,100.0
293,293,100.0,bot_like,1.984798,1,100.0
284,284,98.9,bot_like,2.0,1.0,100.0
279,279,0.0,bot_like,0.242108,14,100.0
275,275,100.0,bot_like,1.821367,1,100.0
254,254,0.0,bot_like,0.25157450000000003,13.0,100.0
243,243,100.0,bot_like,2.0,1,100.0
232,232,100.0,bot_like,2.0,1.0,100.0
230,230,0.0,bot_like,1.586707,2.0,100.0
223,223,0.0,bot_like,0.727367,8,100.0
222,222,100.0,bot_like,1.954568,1.0,100.0
218,218,0.0,bot_like,0.34852099999999997,8.0,100.0
209,209,100.0,bot_like,1.983805,1,100.0
205,205,0.0,bot_like,0.609637,8,100.0
203,203,100.0,bot_like,2.0,1,100.0
200,200,100.0,bot_like,1.956659,1.0,100.0
200,200,100.0,bot_like,1.854823,1.0,100.0
200,200,100.0,bot_like,1.954568,1.0,100.0
196,0,0.0,insufficient_coverage,0.0,0,0.0
196,196,89.3,bot_like,2.0,1.0,100.0
195,195,0.0,bot_like,1.450218,2,100.0
187,187,0.0,bot_like,0.240122,10,100.0
178,178,0.0,bot_like,1.600359,6.0,100.0
177,177,100.0,bot_like,2.0,1,100.0
175,175,0.0,bot_like,1.847759,2,100.0
175,175,0.0,bot_like,1.586707,2,100.0
160,160,0.0,bot_like,1.4496885,6.0,100.0
159,159,0.0,bot_like,1.715277,2,100.0
156,156,0.0,bot_like,0.06652849999999999,29.0,100.0
156,156,0.0,bot_like,0.333033,6.0,100.0
153,153,100.0,bot_like,2.0,1,100.0
151,149,83.9,bot_like,2.0,1,98.7
150,150,0.0,bot_like,0.7982605,9.0,100.0
149,149,100.0,bot_like,2.0,1,100.0
145,145,0.0,bot_like,0.395872,18,100.0
143,143,100.0,bot_like,2.0,1,100.0
142,142,100.0,bot_like,1.8536190000000001,1.0,100.0
135,135,100.0,bot_like,2.0,1,100.0
130,130,0.0,bot_like,0.3895625,6.0,100.0
129,129,100.0,bot_like,1.675186,1,100.0
127,127,0.0,bot_like,0.517638,3,100.0
126,126,100.0,bot_like,2.0,1.0,100.0
125,125,0.0,bot_like,0.020406,28,100.0
125,125,100.0,bot_like,2.0,1,100.0
124,124,0.0,bot_like,0.666667,2.0,100.0
121,121,98.3,bot_like,2.0,1,100.0
121,121,0.0,bot_like,1.023008,3,100.0
120,120,0.0,bot_like,0.24887199999999998,8.0,100.0
117,117,0.0,bot_like,0.242097,9,100.0
116,116,0.0,bot_like,1.4216799999999998,6.0,100.0
116,116,0.0,bot_like,1.656544,3.0,100.0
115,115,100.0,bot_like,1.992532,1,100.0
113,113,0.0,bot_like,0.236865,12,100.0
113,113,0.0,bot_like,0.302233,7,100.0
112,112,0.0,bot_like,0.7767775,13.0,100.0
109,109,0.0,bot_like,0.709739,8,100.0
108,108,100.0,bot_like,2.0,1.0,100.0
105,105,86.7,bot_like,2.0,1,100.0
105,105,100.0,bot_like,2.0,1,100.0
104,104,100.0,bot_like,2.0,1.0,100.0
103,103,100.0,bot_like,2.0,1,100.0
102,102,100.0,bot_like,2.0,1.0,100.0
101,79,100.0,bot_like,2.0,1,78.2
100,100,0.0,bot_like,0.33443500000000004,21.0,100.0
100,100,0.0,bot_like,0.6453845,20.0,100.0
100,100,100.0,bot_like,2.0,1.0,100.0
98,98,100.0,bot_like,2.0,1.0,100.0
97,97,0.0,bot_like,0.706139,13,100.0
97,97,100.0,bot_like,1.850829,1,100.0
95,95,100.0,bot_like,2.0,1,100.0
94,94,0.0,bot_like,0.6775725,8.0,100.0
94,94,100.0,bot_like,1.916381,1.0,100.0
94,94,100.0,bot_like,1.924167,1.0,100.0
93,93,0.0,bot_like,0.476665,5,100.0
93,93,100.0,bot_like,2.0,1,100.0
93,93,98.9,bot_like,2.0,1,100.0
91,91,0.0,bot_like,1.013563,6,100.0
90,90,0.0,bot_like,0.5567925,21.0,100.0
90,90,0.0,bot_like,0.3967565,7.0,100.0
89,89,0.0,bot_like,1.30303,3,100.0
89,89,0.0,bot_like,1.503489,3,100.0
88,88,0.0,bot_like,0.6781895,19.0,100.0
86,86,100.0,bot_like,1.98289,1.0,100.0
84,84,0.0,bot_like,0.4957965,22.0,100.0
84,84,0.0,bot_like,0.13853949999999998,13.0,100.0
83,83,0.0,bot_like,0.049063,32,100.0
83,83,0.0,bot_like,0.663702,8,100.0
83,83,100.0,bot_like,1.962169,1,100.0
83,83,0.0,bot_like,1.842163,2,100.0
81,81,0.0,bot_like,0.168734,9,100.0
81,81,100.0,bot_like,1.850829,1,100.0
81,81,100.0,bot_like,2.0,1,100.0
80,80,0.0,bot_like,0.73875,14.0,100.0
80,80,0.0,bot_like,0.240601,81.0,100.0
80,80,100.0,bot_like,2.0,1.0,100.0
79,79,0.0,bot_like,0.462707,8,100.0
79,79,0.0,bot_like,1.187957,6,100.0
78,78,100.0,bot_like,2.0,1.0,100.0
78,78,100.0,bot_like,1.9243540000000001,1.0,100.0
78,78,100.0,bot_like,2.0,1.0,100.0
77,77,0.0,bot_like,0.435615,11,100.0
77,77,0.0,bot_like,1.510686,3,100.0
77,77,100.0,bot_like,2.0,1,100.0
76,0,0.0,insufficient_coverage,0.0,0,0.0
76,76,100.0,bot_like,2.0,1.0,100.0
75,75,0.0,bot_like,0.300503,5,100.0
75,75,100.0,bot_like,2.0,1,100.0
73,73,0.0,bot_like,1.10502,2,100.0
72,72,0.0,bot_like,0.4617965,3.0,100.0
71,71,100.0,bot_like,2.0,1,100.0
70,70,100.0,bot_like,2.0,1.0,100.0
69,69,0.0,bot_like,0.067086,39,100.0
69,69,0.0,bot_like,0.451426,5,100.0
66,66,0.0,bot_like,0.3253745,9.0,100.0
66,66,100.0,bot_like,2.0,1.0,100.0
66,66,100.0,bot_like,2.0,1.0,100.0
65,65,0.0,bot_like,0.278718,5,100.0
64,64,100.0,bot_like,2.0,1.0,100.0
64,64,0.0,bot_like,1.763834,2.0,100.0
63,63,0.0,bot_like,1.931852,2,100.0
62,62,0.0,bot_like,0.698377,6.0,100.0
60,60,98.3,bot_like,1.6066655,1.0,100.0
59,59,0.0,bot_like,0.526787,16,100.0
58,58,0.0,bot_like,0.644209,23.0,100.0
58,58,0.0,bot_like,0.6996015,5.0,100.0
58,58,100.0,bot_like,2.0,1.0,100.0
58,58,100.0,bot_like,2.0,1.0,100.0
57,57,0.0,bot_like,0.330251,8,100.0
57,57,100.0,bot_like,2.0,1,100.0
57,57,100.0,bot_like,1.490712,1,100.0
57,57,0.0,bot_like,1.586707,2,100.0
56,56,0.0,bot_like,2.0,2.0,100.0
56,56,100.0,bot_like,1.586707,1.0,100.0
55,55,98.2,bot_like,2.0,1,100.0
53,53,0.0,bot_like,0.645934,2,100.0
53,53,100.0,bot_like,2.0,1,100.0
53,53,0.0,bot_like,2.0,2,100.0
53,53,100.0,bot_like,2.0,1,100.0
52,52,0.0,bot_like,0.250758,12.0,100.0
51,51,96.1,bot_like,2.0,1,100.0
51,51,100.0,bot_like,2.0,1,100.0
50,50,0.0,bot_like,0.402802,2.0,100.0
50,50,100.0,bot_like,2.0,1.0,100.0
50,50,100.0,bot_like,2.0,1.0,100.0
50,50,100.0,bot_like,2.0,1.0,100.0
